seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20280909,idm_mobil,gap_q1,80,48,41,0.6,3
20280909,idm_mobil,gap_q2,80,16,10,0.2,0
20280909,idm_mobil,gap_q3,80,2,2,0.025,0
20280909,idm_mobil,gap_q4,80,0,0,0.0,0
20280909,idm_mobil,all,320,66,53,0.20625,3
20280909,mcts_cv,gap_q1,80,51,38,0.6375,4
20280909,mcts_cv,gap_q2,80,27,12,0.3375,8
20280909,mcts_cv,gap_q3,80,15,8,0.1875,12
20280909,mcts_cv,gap_q4,80,4,0,0.05,4
20280909,mcts_cv,all,320,97,58,0.303125,28
20280909,ppo_ece,gap_q1,80,36,20,0.45,0
20280909,ppo_ece,gap_q2,80,14,0,0.175,0
20280909,ppo_ece,gap_q3,80,1,0,0.0125,0
20280909,ppo_ece,gap_q4,80,0,0,0.0,0
20280909,ppo_ece,all,320,51,20,0.159375,0
