"task_id","mode","method","repeat","seed"
,,,,
,,,,
,,,,
,,,,
"legacy_regression_seed4179801_merge_brake2","regression","Random","0","1965656341"
"legacy_regression_seed4179801_merge_brake2","regression","Random","1","329538707"
"legacy_regression_seed4179801_merge_brake2","regression","Random","2","2486821211"
"legacy_regression_seed4179801_merge_brake2","regression","Random","3","3518408239"
"legacy_regression_seed4179801_merge_brake2","regression","Random","4","220540976"
"legacy_regression_seed4179801_merge_brake2","regression","Random","5","1772911268"
"legacy_regression_seed4179801_merge_brake2","regression","Random","6","4227551271"
"legacy_regression_seed4179801_merge_brake2","regression","Random","7","2670858561"
"legacy_regression_seed4179801_merge_brake2","regression","Random","8","2342398512"
"legacy_regression_seed4179801_merge_brake2","regression","Random","9","3863153976"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","0","1965656341"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","1","329538707"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","2","2486821211"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","3","3518408239"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","4","220540976"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","5","1772911268"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","6","4227551271"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","7","2670858561"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","8","2342398512"
"legacy_regression_seed4179801_merge_brake2","regression","HistoryRank-UCB-v2","9","3863153976"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","0","1965656341"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","1","329538707"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","2","2486821211"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","3","3518408239"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","4","220540976"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","5","1772911268"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","6","4227551271"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","7","2670858561"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","8","2342398512"
"legacy_regression_seed4179801_merge_brake2","regression","FailureDistance-v2","9","3863153976"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","0","1965656341"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","1","329538707"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","2","2486821211"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","3","3518408239"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","4","220540976"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","5","1772911268"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","6","4227551271"
"legacy_regression_seed4179801_merge_brake2","regression","FBRT-NoMemory","7","2670858561"
