method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S05:space_filling:15,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,True,False,True,True,1,new-0250bdb83e46ff83abf11e1d,1,[],,0,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,2,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-288612112438dda6d7f1f545,1,[],,1,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,3,4179901:S06:space_filling:7,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-744fa20ca27103f7e4f6de05,1,[],,2,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,4,4179901:S02:anchor_like:1,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-fdb6f4267524b4cd3fd9d456,1,[],,3,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,5,4179901:S02:anchor_like:2,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-6375c178bdf54fa48ff05d72,1,[],,4,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,6,4179901:S01:anchor_like:0,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-d35bd48d8679b9e47d214189,1,[],,5,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,7,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-af3637b3a0efd12ac7582db0,1,[],,6,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,8,4179901:S05:anchor_like:2,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-7cb08d1588f68aa3f60dc932,1,[],,7,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,9,4179901:S01:anchor_like:3,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-d0a4bace3e15e57d9ff5bba5,1,[],,8,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
Random,10,4179901:S08:space_filling:14,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,False,0,new-f17725a3a6b1d93b91093ed1,1,[],,9,1,,,compact_regression_mobil_ref_to_rear_guard_off,2
