scenario_id,template_id,initial_clearance_m,lane_change_duration_s,lead_deceleration_mps2,static_target_ttc_s,lane_count,ego_speed_mps,lead_speed_mps
4179801:fbrt_cutin:initial:0,fbrt_cutin,44.539903819561005,1.5644690997898578,,,2,25.0,20.0
4179801:fbrt_cutin:initial:1,fbrt_cutin,27.282428262755275,2.1103293098509313,,,2,25.0,20.0
4179801:fbrt_cutin:initial:2,fbrt_cutin,16.76014581695199,0.8540083296597003,,,2,25.0,20.0
4179801:fbrt_cutin:initial:3,fbrt_cutin,33.9801506344229,2.6707944430410864,,,2,25.0,20.0
4179801:fbrt_cutin:initial:4,fbrt_cutin,36.969186171889305,1.045294815301895,,,2,25.0,20.0
4179801:fbrt_cutin:initial:5,fbrt_cutin,12.540687842294574,2.7799033373594284,,,2,25.0,20.0
4179801:fbrt_cutin:initial:6,fbrt_cutin,22.9809339530766,1.3737289130687713,,,2,25.0,20.0
4179801:fbrt_cutin:initial:7,fbrt_cutin,47.44690317846835,2.001474031805992,,,2,25.0,20.0
4179801:fbrt_cutin:initial:8,fbrt_cutin,47.143248004838824,0.7243814796209335,,,2,25.0,20.0
4179801:fbrt_cutin:initial:9,fbrt_cutin,19.429030880331993,2.5007104575634003,,,2,25.0,20.0
4179801:fbrt_cutin:initial:11,fbrt_cutin,36.6216308362782,2.3182022631168366,,,2,25.0,20.0
4179801:fbrt_cutin:initial:12,fbrt_cutin,29.12095415405929,1.245542100816965,,,2,25.0,20.0
4179801:fbrt_cutin:initial:13,fbrt_cutin,15.138943016529083,1.8293693907558919,,,2,25.0,20.0
4179801:fbrt_cutin:initial:14,fbrt_cutin,25.617326552048326,1.1356903709471227,,,2,25.0,20.0
4179801:fbrt_cutin:initial:15,fbrt_cutin,39.56054500117898,2.9892167575657367,,,2,25.0,20.0
4179801:fbrt_cutin:initial:16,fbrt_cutin,41.48585847578943,1.0828864529728888,,,2,25.0,20.0
4179801:fbrt_cutin:initial:17,fbrt_cutin,24.922446466982365,2.8919088765978813,,,2,25.0,20.0
4179801:fbrt_cutin:initial:18,fbrt_cutin,14.526420326903462,1.3357346132397652,,,2,25.0,20.0
4179801:fbrt_cutin:initial:19,fbrt_cutin,31.12798399850726,1.8890655085444448,,,2,25.0,20.0
4179801:fbrt_cutin:initial:20,fbrt_cutin,34.609164556488395,1.7448462300002574,,,2,25.0,20.0
4179801:fbrt_cutin:initial:22,fbrt_cutin,20.12872718460858,0.6740338973701,,,2,25.0,20.0
4179801:fbrt_cutin:initial:23,fbrt_cutin,45.213137712329626,2.4011716984212397,,,2,25.0,20.0
4179801:fbrt_cutin:initial:24,fbrt_cutin,49.37769963592291,1.4263954304158686,,,2,25.0,20.0
4179801:fbrt_cutin:initial:25,fbrt_cutin,22.280642231926322,2.0986991576850413,,,2,25.0,20.0
4179801:fbrt_cutin:initial:26,fbrt_cutin,11.923382963985205,0.9550202630460263,,,2,25.0,20.0
4179801:fbrt_cutin:initial:27,fbrt_cutin,38.981047021225095,2.7200699619948865,,,2,25.0,20.0
4179801:fbrt_cutin:initial:28,fbrt_cutin,31.972445107996464,0.7661843821406364,,,2,25.0,20.0
4179801:fbrt_cutin:initial:29,fbrt_cutin,17.37327471934259,2.608724458515644,,,2,25.0,20.0
