step,target_sut,method_variant,status,residual_norm,iterations,simplex_violation,fallback
1,SUT-A,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-A,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-A,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4245946533542058e-08,6,1.1102230246251565e-16,False
14,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.020655892944448e-08,1,1.1102230246251565e-16,False
15,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.5786233929066855e-08,6,2.220446049250313e-16,False
16,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.378048143108597e-08,1,2.220446049250313e-16,False
17,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.993930423421953e-08,1,2.220446049250313e-16,False
18,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.1273655785050547e-07,1,2.220446049250313e-16,False
19,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.5832022334390704e-07,1,2.220446049250313e-16,False
20,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.09947001094353976,7,0.0,False
1,SUT-A,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-A,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-A,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,7.4407580097357595e-09,3,0.0,False
14,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.052282089170455e-08,1,0.0,False
15,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.922779081906268e-08,3,0.0,False
16,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.2202340410615307e-08,1,0.0,False
17,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.4822971208863208e-08,1,0.0,False
18,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.7192202550791324e-08,1,0.0,False
19,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.8944271909999161,4,1.1102230246251565e-16,False
20,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.9128709291752769,2,0.0,False
1,SUT-B,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-B,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0879021252981046,1,0.0,False
12,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0879021252981046,1,0.0,False
13,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.12468104321160543,1,0.0,False
14,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.12468104321160543,1,0.0,False
15,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.12508874496602776,6,1.1102230246251565e-16,False
16,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.15747902507490724,13,1.1102230246251565e-16,False
17,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.5381822836261451,5,0.0,False
18,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.539017526394101,5,0.0,False
19,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.5396111640646819,5,0.0,False
20,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.58315752312737,7,0.0,False
1,SUT-B,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-B,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
