seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20280217,idm_mobil,gap_q1,125,32,0,0.256,20
20280217,idm_mobil,gap_q2,125,20,0,0.16,14
20280217,idm_mobil,gap_q3,125,22,0,0.176,19
20280217,idm_mobil,gap_q4,125,17,0,0.136,17
20280217,idm_mobil,all,500,91,0,0.182,70
20280217,mcts_cv,gap_q1,125,3,0,0.024,0
20280217,mcts_cv,gap_q2,125,2,0,0.016,0
20280217,mcts_cv,gap_q3,125,0,0,0.0,0
20280217,mcts_cv,gap_q4,125,0,0,0.0,0
20280217,mcts_cv,all,500,5,0,0.01,0
20280217,ppo_ece,gap_q1,125,11,0,0.088,0
20280217,ppo_ece,gap_q2,125,6,0,0.048,0
20280217,ppo_ece,gap_q3,125,3,0,0.024,0
20280217,ppo_ece,gap_q4,125,0,0,0.0,0
20280217,ppo_ece,all,500,20,0,0.04,0
20280303,idm_mobil,gap_q1,125,28,0,0.224,20
20280303,idm_mobil,gap_q2,125,28,0,0.224,22
20280303,idm_mobil,gap_q3,125,20,0,0.16,17
20280303,idm_mobil,gap_q4,125,15,0,0.12,12
20280303,idm_mobil,all,500,91,0,0.182,71
20280303,mcts_cv,gap_q1,125,2,0,0.016,1
20280303,mcts_cv,gap_q2,125,1,0,0.008,0
20280303,mcts_cv,gap_q3,125,0,0,0.0,0
20280303,mcts_cv,gap_q4,125,0,0,0.0,0
20280303,mcts_cv,all,500,3,0,0.006,1
20280303,ppo_ece,gap_q1,125,8,0,0.064,0
20280303,ppo_ece,gap_q2,125,6,0,0.048,0
20280303,ppo_ece,gap_q3,125,3,0,0.024,0
20280303,ppo_ece,gap_q4,125,3,0,0.024,0
20280303,ppo_ece,all,500,20,0,0.04,0
20280317,idm_mobil,gap_q1,125,30,0,0.24,23
20280317,idm_mobil,gap_q2,125,26,0,0.208,19
20280317,idm_mobil,gap_q3,125,22,0,0.176,19
20280317,idm_mobil,gap_q4,125,16,0,0.128,13
20280317,idm_mobil,all,500,94,0,0.188,74
20280317,mcts_cv,gap_q1,125,1,0,0.008,0
20280317,mcts_cv,gap_q2,125,1,0,0.008,0
20280317,mcts_cv,gap_q3,125,2,0,0.016,0
20280317,mcts_cv,gap_q4,125,0,0,0.0,0
20280317,mcts_cv,all,500,4,0,0.008,0
20280317,ppo_ece,gap_q1,125,7,0,0.056,0
20280317,ppo_ece,gap_q2,125,6,0,0.048,0
20280317,ppo_ece,gap_q3,125,1,0,0.008,0
20280317,ppo_ece,gap_q4,125,3,0,0.024,0
20280317,ppo_ece,all,500,17,0,0.034,0
20280331,idm_mobil,gap_q1,125,33,0,0.264,21
20280331,idm_mobil,gap_q2,125,24,0,0.192,19
20280331,idm_mobil,gap_q3,125,23,0,0.184,20
20280331,idm_mobil,gap_q4,125,15,0,0.12,14
20280331,idm_mobil,all,500,95,0,0.19,74
20280331,mcts_cv,gap_q1,125,3,0,0.024,0
20280331,mcts_cv,gap_q2,125,1,0,0.008,0
20280331,mcts_cv,gap_q3,125,1,0,0.008,0
20280331,mcts_cv,gap_q4,125,0,0,0.0,0
20280331,mcts_cv,all,500,5,0,0.01,0
20280331,ppo_ece,gap_q1,125,11,0,0.088,0
20280331,ppo_ece,gap_q2,125,5,0,0.04,0
20280331,ppo_ece,gap_q3,125,3,0,0.024,0
20280331,ppo_ece,gap_q4,125,1,0,0.008,0
20280331,ppo_ece,all,500,20,0,0.04,0
20280414,idm_mobil,gap_q1,125,30,0,0.24,24
20280414,idm_mobil,gap_q2,125,25,0,0.2,18
20280414,idm_mobil,gap_q3,125,16,0,0.128,12
20280414,idm_mobil,gap_q4,125,19,0,0.152,17
20280414,idm_mobil,all,500,90,0,0.18,71
20280414,mcts_cv,gap_q1,125,1,0,0.008,0
20280414,mcts_cv,gap_q2,125,1,0,0.008,0
20280414,mcts_cv,gap_q3,125,0,0,0.0,0
20280414,mcts_cv,gap_q4,125,0,0,0.0,0
20280414,mcts_cv,all,500,2,0,0.004,0
20280414,ppo_ece,gap_q1,125,6,0,0.048,0
20280414,ppo_ece,gap_q2,125,6,0,0.048,0
20280414,ppo_ece,gap_q3,125,4,0,0.032,0
20280414,ppo_ece,gap_q4,125,2,0,0.016,0
20280414,ppo_ece,all,500,18,0,0.036,0
