update,train_loss,dev_loss,gradient_norm,attention_entropy,elapsed_seconds
1,0.2922440767288208,0.07875575125217438,5.08511209487915,0.03479605168104172,0.1714547000010498
25,0.015021925792098045,0.07187987118959427,0.27324342727661133,0.09096887707710266,0.7220341000065673
50,0.008194563910365105,0.07308042049407959,0.1879960149526596,0.09046357125043869,1.2865446000068914
75,0.0036121129523962736,0.06664149463176727,0.07463054358959198,0.12289992719888687,1.8691339000070002
100,0.008358822204172611,0.07243932038545609,0.497878760099411,0.0869259461760521,2.4235628999886103
125,0.0019633392803370953,0.06948456913232803,0.0015410345513373613,0.060551006346940994,2.9956732999999076
150,0.00214736838825047,0.07127277553081512,0.1549125611782074,0.060873281210660934,3.5919901999877766
175,0.0016747871413826942,0.07336518168449402,0.008082752116024494,0.06013169512152672,4.1674350000103
200,0.0013045426458120346,0.0783749520778656,0.0006146117812022567,0.05695374682545662,4.74406359999557
225,0.0019549326971173286,0.0810597687959671,0.0004257912514731288,0.05472719669342041,5.3117732999962755
250,0.0013255001977086067,0.08107548952102661,0.005937319714576006,0.055021267384290695,5.914270799985388
275,0.001623581862077117,0.07941216230392456,0.0015667417319491506,0.05656178668141365,6.50061290001031
300,0.007653369102627039,0.06988583505153656,0.0858091190457344,0.06720644980669022,7.164779599988833
325,0.06832203269004822,0.07693672925233841,0.43077385425567627,0.5301200747489929,7.722299399989424
