scenario_index,scenario_id,configured_gap,relative_speed,mode,collision_SUT-A,collision_SUT-B,collision_SUT-C,collision_SUT-D
0,fst-1032d0dea39d1d57,10.461856569163501,-2.70065850764513,fast_intrusion,0,0,1,0
1,fst-8330dd1145efa988,38.610312291420996,-6.855145499110222,fast_intrusion,0,0,0,0
2,fst-ecb0d5f68e92adc9,27.562887854874134,1.5863743405789137,fast_intrusion,0,0,0,0
3,fst-86567fc0d400167b,21.29450528882444,-3.6423307303339243,fast_intrusion,0,0,0,0
4,fst-3301a009904df829,16.690807663835585,0.46460762433707714,fast_intrusion,0,0,0,0
5,fst-9bef4a557961eb30,23.5447510285303,-5.408666843548417,fast_intrusion,0,0,0,0
6,fst-20b0ccfd54f9ad79,34.45946208201349,-1.3421087637543678,fast_intrusion,0,0,0,0
7,fst-7fcc1c48a9a61f15,5.734524540603161,-6.102102652192116,fast_intrusion,1,1,1,1
8,fst-ac5f917f52fbbbab,7.863073432818055,0.9056199323385954,fast_intrusion,0,0,0,0
9,fst-5a2d2bb2511fbee8,32.184705790132284,-3.2690181229263544,fast_intrusion,0,0,0,0
10,fst-5c7212803740852f,25.51416848320514,-2.326878748834133,fast_intrusion,0,0,0,0
11,fst-353e36f6f0d0243d,14.321006848476827,-7.536672532558441,fast_intrusion,1,0,1,1
12,fst-78fd3bf25f316bc2,19.014417808502913,-0.6215014979243279,fast_intrusion,0,0,0,0
13,fst-4adb1c11e4784e6f,29.698922941461205,-6.514927178621292,fast_intrusion,0,0,0,0
14,fst-e685cdc9804dee64,36.237281053327024,0.05225054733455181,fast_intrusion,0,0,0,0
15,fst-0da70aaea2838fff,12.432316062040627,-4.688831904903054,fast_intrusion,0,0,1,0
16,fst-dd9007f3bb92a614,13.514805575832725,-0.30710810981690884,fast_intrusion,0,0,0,0
17,fst-2dc0cca4346a8b4d,37.31760147958994,-4.324609247967601,fast_intrusion,0,0,0,0
18,fst-4e1535aad76e4bc6,30.803807475604117,-0.8832041658461094,fast_intrusion,0,0,0,0
19,fst-fb2ece86737ec800,20.12147247325629,-6.24836103245616,fast_intrusion,0,0,0,0
20,fst-d8f33947b555b103,15.419474802911282,-1.9098701812326908,fast_intrusion,0,0,0,0
21,fst-4c6abce586610528,26.610533064231277,-7.958582650870085,fast_intrusion,0,0,0,1
22,fst-54c95e0f7501aaa8,33.273596237413585,1.1077844146639109,fast_intrusion,0,0,0,0
23,fst-9a4848d2d7d81f8f,8.95406621042639,-3.476084826514125,fast_intrusion,1,0,1,1
24,fst-d223159fd45e7d08,6.81390808429569,-1.7252427823841572,fast_intrusion,1,1,1,1
25,fst-6f5318d6e42f7147,35.54101575631648,-5.723832633346319,fast_intrusion,0,0,0,0
26,fst-8ad782f9b4a1f73d,24.653009083122015,0.21819261647760868,fast_intrusion,0,0,0,0
27,fst-961893bfcc1186bf,17.796896630898118,-5.1671153139323,fast_intrusion,0,0,0,0
28,fst-fb455ba5fdccddcd,22.392074433155358,1.9893730971962214,fast_intrusion,0,0,0,0
29,fst-d57a89d236e0dbab,28.662559329532087,-4.040427936241031,fast_intrusion,0,0,0,0
30,fst-2a43264ec7e5389e,39.70036909915507,-2.4734406657516956,fast_intrusion,0,0,0,0
31,fst-f13790929fd3a9bf,11.549810003489256,-7.077461119741201,fast_intrusion,1,0,1,1
32,fst-d66e9015eb83f022,10.677976980805397,1.440278820693493,fast_intrusion,0,0,0,0
33,fst-684ec565c113a1bf,39.40241853706539,-3.808578059077263,fast_intrusion,0,0,0,0
34,fst-61f865a9f635950b,28.44558212440461,-2.8664383310824633,fast_intrusion,0,0,0,0
35,fst-958da9854b306bee,21.59106767270714,-7.002013290300965,fast_intrusion,0,0,0,0
36,fst-42f62de974604456,17.57297250442207,-1.1757098156958818,fast_intrusion,0,0,0,0
37,fst-d4188bd5034b0d06,23.84185940027237,-5.95585417188704,fast_intrusion,0,0,0,0
38,fst-393d56bf6ad2c507,34.67506153974682,0.6113237962126732,fast_intrusion,0,0,0,0
39,fst-d2bc6153345e68c6,6.527168559841812,-5.243039980530739,fast_intrusion,1,1,1,1
40,fst-cad8391b23bc294f,8.625266780145466,-2.1415673960000277,fast_intrusion,0,0,1,0
41,fst-d1926a1b51598e32,32.43073714431375,-7.409335562959313,fast_intrusion,0,0,0,0
42,fst-71e695bf05421e46,25.849187644198537,1.0321839228272438,fast_intrusion,0,0,0,0
43,fst-16f5156b3d13a5a5,15.165246296674013,-3.0832399725914,fast_intrusion,0,0,0,0
44,fst-b6d056b8f0960b4a,19.349975786171854,-0.07493405789136887,fast_intrusion,0,0,0,0
45,fst-6ebe50a6aec51e99,30.542640392668545,-4.873989850282669,fast_intrusion,0,0,0,0
46,fst-f6f497f95a0a548f,37.00002143159509,-0.8074320126324892,fast_intrusion,0,0,0,0
47,fst-7f68abab42fdb5c8,12.67781694419682,-6.641644576564431,fast_intrusion,1,0,1,1
48,fst-de357a2fc402bca4,11.589888543821871,-1.0099207814782858,fast_intrusion,0,0,0,0
49,fst-cf3a7a16937cea49,35.90992290060967,-6.434291807934642,fast_intrusion,0,0,0,0
50,fst-3983429e2bf3c5c9,29.44292719475925,-0.49226683750748634,fast_intrusion,0,0,0,0
51,fst-daf50406c8d9c184,18.25243167579174,-4.451793592423201,fast_intrusion,0,0,0,0
52,fst-0e02430eb25efd06,14.059132295660675,1.2935623787343502,fast_intrusion,0,0,0,0
53,fst-1b4c10a4fdd7a2b7,24.740971312858164,-3.349519979208708,fast_intrusion,0,0,0,0
54,fst-a0605fd481ad27c7,31.3492251932621,-1.7825330253690481,fast_intrusion,0,0,0,0
55,fst-df9cc2ccf0abbf23,7.5458582025021315,-7.773272154852748,fast_intrusion,1,1,1,1
56,fst-89e6be420eaf7ec9,5.436134058982134,0.3838198892772198,fast_intrusion,1,1,1,1
57,fst-c4e12bd26c3605e7,33.586196126416326,-5.020400073379278,fast_intrusion,0,0,0,0
58,fst-2b82c136466cf071,22.745519853197038,-1.5789947118610144,fast_intrusion,0,0,0,0
59,fst-b66f7d6a34e49f06,16.47446282673627,-5.557432753965259,fast_intrusion,0,0,0,0
60,fst-10ce589da21fc69f,20.484054731205106,-2.6203094627708197,fast_intrusion,0,0,0,0
61,fst-3b232ca1a7d1632f,27.340672556310892,-7.243240607902408,fast_intrusion,0,0,0,0
62,fst-2ef71279fca30d8b,38.322073076851666,1.8231267742812634,fast_intrusion,0,0,0,0
63,fst-429bbd189c8c64de,9.595529190264642,-4.186523791402578,fast_intrusion,1,0,1,1
64,fst-e6ed7300f8e85333,30.821667537093163,0.0493784137070179,cutin_braking,0,0,0,0
65,fst-beb428f6265f340a,16.697006598114967,-6.496778151020408,cutin_braking,1,0,1,1
66,fst-2a71a7c39926a21b,11.316360849887133,-2.0983112808316946,cutin_braking,0,0,0,0
67,fst-e516d2dcc2f9f24c,32.25873248651624,-3.019737835973501,cutin_braking,0,0,0,0
68,fst-4df42ed0512f559e,38.6627421528101,-1.2406121585518122,cutin_braking,0,0,0,0
69,fst-3906a7e3a8b1f75d,9.295878633856773,-5.289776094257832,cutin_braking,1,1,1,1
70,fst-be100308db59b799,18.78663258627057,1.5336081460118294,cutin_braking,0,0,0,0
71,fst-331f5501ae5fb815,24.348480720072985,-6.890896076336503,cutin_braking,0,0,1,1
72,fst-467d96e7cbf4c2ea,24.774878560565412,-2.770725192502141,cutin_braking,0,0,0,0
73,fst-f0847ce65f601e3d,21.671308069489896,-3.7144972681999207,cutin_braking,0,0,0,0
74,fst-4bc33de024f2563c,5.314807961694896,0.6272751539945602,cutin_braking,1,0,1,1
75,fst-92330fe58aa22f5f,37.145273010246456,-5.941838400438428,cutin_braking,0,0,0,0
76,fst-035990e687d102ca,34.84227457549423,1.0143833868205547,cutin_braking,0,0,0,0
